id,PClass,Age,Gender,Survived,GenderCode
1018,3rd,0,male,0,0
1019,3rd,0,male,0,0
1020,3rd,0,male,0,0
1021,3rd,0,male,0,0
1022,3rd,0,male,0,0
1023,3rd,0,male,0,0
1024,3rd,0,female,1,1
1025,3rd,0,male,0,0
1026,3rd,0,female,1,1
1027,3rd,0,male,0,0
1028,3rd,0,male,0,0
1029,3rd,0,female,1,1
1030,3rd,0,male,0,0
1031,3rd,0,male,0,0
1032,3rd,0,male,0,0
1033,3rd,0,male,0,0
1034,3rd,0,male,1,0
1035,3rd,0,female,0,1
1036,3rd,0,male,0,0
1037,3rd,0,male,0,0
1038,3rd,0,male,0,0
1039,3rd,0,female,0,1
1040,3rd,0,male,0,0
1041,3rd,0,female,1,1
1042,3rd,0,female,0,1
1043,3rd,0,male,0,0
1044,3rd,0,female,0,1
1045,3rd,0,female,0,1
1046,3rd,0,female,0,1
1047,3rd,0,male,0,0
1048,3rd,0,female,1,1
1049,3rd,0,male,0,0
1050,3rd,0,female,0,1
1051,3rd,0,male,0,0
1052,3rd,0,male,0,0
1053,3rd,0,male,0,0
1054,3rd,0,male,0,0
1055,3rd,0,male,0,0
1056,3rd,0,female,1,1
1057,3rd,0,male,0,0
1058,3rd,0,male,0,0
1059,3rd,0,male,0,0
1060,3rd,0,male,0,0
1061,3rd,0,female,0,1
1062,3rd,0,male,0,0
1063,3rd,0,male,0,0
1064,3rd,0,female,1,1
1065,3rd,0,male,0,0
1066,3rd,0,female,0,1
1067,3rd,0,male,0,0
1068,3rd,0,male,0,0
1069,3rd,0,female,1,1
1070,3rd,0,female,0,1
1071,3rd,0,male,0,0
1072,3rd,0,male,0,0
1073,3rd,0,male,1,0
1074,3rd,0,female,0,1
1075,3rd,0,male,0,0
1076,3rd,0,male,0,0
1077,3rd,0,male,0,0
1078,3rd,0,female,1,1
1079,3rd,0,male,0,0
1080,3rd,0,male,0,0
1081,3rd,0,male,0,0
1082,3rd,0,male,1,0
1083,3rd,0,female,0,1
1084,3rd,0,female,0,1
1085,3rd,0,male,0,0
1086,3rd,0,female,0,1
1087,3rd,0,male,0,0
1088,3rd,0,male,0,0
1089,3rd,0,male,0,0
1090,3rd,0,male,0,0
1091,3rd,0,female,0,1
1092,3rd,0,male,0,0
1093,3rd,0,male,1,0
1094,3rd,0,female,0,1
1095,3rd,0,male,0,0
1096,3rd,0,male,0,0
1097,3rd,0,male,0,0
1098,3rd,0,male,0,0
1099,3rd,0,female,1,1
1100,3rd,0,female,0,1
1101,3rd,0,male,0,0
1102,3rd,0,male,0,0
1103,3rd,0,male,0,0
1104,3rd,0,female,0,1
1105,3rd,0,male,0,0
1106,3rd,0,male,0,0
1107,3rd,0,male,0,0
1108,3rd,0,male,0,0
1109,3rd,0,male,0,0
1110,3rd,0,female,0,1
1111,3rd,0,male,0,0
1112,3rd,0,female,0,1
1113,3rd,0,female,0,1
1114,3rd,0,male,0,0
1115,3rd,0,male,0,0
1116,3rd,0,female,0,1
1117,3rd,0,female,0,1
1118,3rd,0,male,0,0
1119,3rd,0,male,0,0
1120,3rd,0,male,0,0
1121,3rd,0,male,0,0
1122,3rd,0,male,0,0
1123,3rd,0,male,1,0
1124,3rd,0,male,0,0
1125,3rd,0,male,0,0
1126,3rd,0,male,1,0
1127,3rd,0,female,0,1
1128,3rd,0,female,0,1
1129,3rd,0,male,0,0
1130,3rd,0,female,0,1
1131,3rd,0,male,0,0
1132,3rd,0,female,0,1
1133,3rd,0,male,0,0
1134,3rd,0,male,0,0
1135,3rd,0,female,0,1
1136,3rd,0,male,0,0
1137,3rd,0,male,1,0
1138,3rd,0,male,0,0
1139,3rd,0,male,0,0
1140,3rd,0,male,0,0
1141,3rd,0,male,0,0
1142,3rd,0,male,0,0
1143,3rd,0,male,0,0
1144,3rd,0,male,0,0
1145,3rd,0,male,0,0
1146,3rd,0,male,0,0
1147,3rd,0,male,0,0
1148,3rd,0,male,0,0
1149,3rd,0,female,0,1
1150,3rd,0,female,0,1
1151,3rd,0,male,0,0
1152,3rd,0,female,1,1
1153,3rd,0,male,0,0
1154,3rd,0,female,0,1
1155,3rd,0,male,0,0
1156,3rd,0,female,0,1
1157,3rd,0,male,0,0
1158,3rd,0,male,0,0
1159,3rd,0,female,0,1
1160,3rd,0,female,0,1
1161,3rd,0,male,0,0
1162,3rd,0,female,1,1
1163,3rd,0,male,0,0
1164,3rd,0,male,0,0
1165,3rd,0,male,1,0
1166,3rd,0,male,0,0
1167,3rd,0,male,0,0
1168,3rd,0,male,1,0
1169,3rd,0,male,0,0
1170,3rd,0,male,0,0
1171,3rd,0,female,0,1
1172,3rd,0,female,0,1
1173,3rd,0,female,0,1
1174,3rd,0,male,0,0
1175,3rd,0,male,0,0
1176,3rd,0,male,0,0
1177,3rd,0,male,0,0
1178,3rd,0,female,0,1
1179,3rd,0,female,0,1
1180,3rd,0,male,0,0
1181,3rd,0,male,0,0
1182,3rd,21,male,0,0
1183,3rd,0,female,1,1
1184,3rd,0,male,0,0
1185,3rd,0,male,0,0
1186,3rd,0,male,0,0
1187,3rd,0,male,0,0
1188,3rd,0,female,1,1
1189,3rd,1.5,female,0,1
1190,3rd,0,female,0,1
1191,3rd,0,male,0,0
1192,3rd,0,male,0,0
1193,3rd,0,male,0,0
1194,3rd,0,male,0,0
1195,3rd,0,male,0,0
1196,3rd,0,male,0,0
1197,3rd,0,male,0,0
1198,3rd,0,male,0,0
1199,3rd,0,male,0,0
1200,3rd,0,male,1,0
1201,3rd,0,male,0,0
1202,3rd,0,female,1,1
1203,3rd,0,male,0,0
1204,3rd,0,male,0,0
1205,3rd,0,male,0,0
1206,3rd,0,male,0,0
1207,3rd,0,male,0,0
1208,3rd,0,female,1,1
1209,3rd,0,male,0,0
1210,3rd,0,male,0,0
1211,3rd,0,male,0,0
1212,3rd,0,male,0,0
1213,3rd,0,female,0,1
1214,3rd,0,female,0,1
1215,3rd,0,male,0,0
1216,3rd,0,female,0,1
1217,3rd,0,male,0,0
1218,3rd,0,male,0,0
1219,3rd,0,male,0,0
1220,3rd,0,female,1,1
1221,3rd,0,female,0,1
1222,3rd,0,male,0,0
1223,3rd,0,male,1,0
1224,3rd,0,male,0,0
1225,3rd,0,male,0,0
1226,3rd,0,male,0,0
1227,3rd,0,female,1,1
1228,3rd,0,male,0,0
1229,3rd,0,male,0,0
1230,3rd,0,male,0,0
1231,3rd,0,female,0,1
1232,3rd,0,male,1,0
1233,3rd,0,male,0,0
1234,3rd,0,female,0,1
1235,3rd,0,female,0,1
1236,3rd,0,male,1,0
1237,3rd,0,male,0,0
1238,3rd,0,male,0,0
1239,3rd,0,male,0,0
1240,3rd,0,male,1,0
1241,3rd,0,male,0,0
1242,3rd,0,male,0,0
1243,3rd,0,male,1,0
1244,3rd,0,male,0,0
1245,3rd,0,female,1,1
1246,3rd,0,male,0,0
1247,3rd,0,male,0,0
1248,3rd,0,male,0,0
1249,3rd,0,male,0,0
1250,3rd,0,male,0,0
1251,3rd,0,male,0,0
1252,3rd,0,female,1,1
1253,3rd,0,male,0,0
1254,3rd,0,male,0,0
1255,3rd,0,male,0,0
1256,3rd,0,male,0,0
1257,3rd,0,male,0,0
1258,3rd,0,male,0,0
1259,3rd,25,male,1,0
1260,3rd,0,female,0,1
1261,3rd,0,male,0,0
1262,3rd,0,female,0,1
1263,3rd,0,male,0,0
1264,3rd,18,female,1,1
1265,3rd,63,female,1,1
1266,3rd,0,male,0,0
1267,3rd,0,male,0,0
1268,3rd,0,male,0,0
1269,3rd,0,male,0,0
1270,3rd,18,female,0,1
1271,3rd,31,male,0,0
1272,3rd,31,female,0,1
1273,3rd,15,male,0,0
1274,3rd,28,male,0,0
1275,3rd,36,male,0,0
1276,3rd,28,male,0,0
1277,3rd,10,female,0,1
1278,3rd,36,male,0,0
1279,3rd,30,female,0,1
1280,3rd,22,male,1,0
1281,3rd,0,male,0,0
1282,3rd,29,male,0,0
1283,3rd,47,male,0,0
1284,3rd,14,female,0,1
1285,3rd,22,male,0,0
1286,3rd,0,male,0,0
1287,3rd,0,male,0,0
1288,3rd,0,male,0,0
1289,3rd,0,male,0,0
1290,3rd,0,male,1,0
1291,3rd,0,male,0,0
1292,3rd,51,male,0,0
1293,3rd,18,male,0,0
1294,3rd,45,female,1,1
1295,3rd,0,male,0,0
1296,3rd,0,male,0,0
1297,3rd,0,male,0,0
1298,3rd,28,male,0,0
1299,3rd,21,male,0,0
1300,3rd,27,male,0,0
1301,3rd,0,male,0,0
1302,3rd,36,male,0,0
1303,3rd,0,male,1,0
1304,3rd,27,male,0,0
1305,3rd,15,female,1,1
1306,3rd,0,male,0,0
1307,3rd,0,female,0,1
1308,3rd,0,female,0,1
1309,3rd,27,male,0,0
1310,3rd,26,male,0,0
1311,3rd,22,male,0,0
1312,3rd,24,male,0,0
1313,3rd,29,male,0,0
